country,suicides_no,rank
Russian Federation,815965,1
United States,759837,2
Japan,635785,3
France,240432,4
Ukraine,238061,5
Germany,215158,6
Republic of Korea,186934,7
Brazil,174197,8
United Kingdom,116348,9
Poland,103503,10
Thailand,99347,11
Italy,98994,12
Mexico,86594,13
Kazakhstan,85850,14
Canada,82875,15
Spain,82274,16
Argentina,66678,17
Hungary,61831,18
Australia,60726,19
Romania,56388,20
Belgium,55468,21
Belarus,47868,22
Sri Lanka,43068,23
Colombia,42423,24
Netherlands,41332,25
Austria,40137,26
Czech Republic,36181,27
Cuba,34965,28
Chile,32804,29
Sweden,31468,30
Bulgaria,29626,31
Uzbekistan,29394,32
Finland,27917,33
Lithuania,24880,34
Switzerland,22284,35
Serbia,20768,36
Portugal,19759,37
Philippines,16794,38
Ecuador,16061,39
Croatia,15657,40
Norway,14949,41
Denmark,13101,42
Uruguay,11851,43
Slovakia,11646,44
Kyrgyzstan,11353,45
New Zealand,11323,46
Greece,11126,47
Latvia,10970,48
Ireland,10927,49
Israel,10088,50
El Salvador,9541,51
Singapore,9252,52
Slovenia,9229,53
Turkey,8925,54
Puerto Rico,7533,55
Guatemala,7456,56
Turkmenistan,7058,57
Estonia,6386,58
South Africa,6316,59
Costa Rica,5703,60
Paraguay,4171,61
Trinidad and Tobago,3679,62
Mauritius,3633,63
Panama,3186,64
Georgia,3035,65
Guyana,2994,66
Nicaragua,1995,67
Suriname,1986,68
Albania,1799,69
Armenia,1752,70
Luxembourg,1742,71
Azerbaijan,1479,72
Iceland,1018,73
Kuwait,923,74
United Arab Emirates,577,75
Malta,567,76
Qatar,538,77
Bahrain,445,78
Mongolia,423,79
Montenegro,418,80
Cyprus,394,81
Belize,348,82
Bosnia and Herzegovina,318,83
Fiji,277,84
Saint Lucia,230,85
Jamaica,184,86
Barbados,177,87
Saint Vincent and Grenadines,124,88
Aruba,101,89
Seychelles,98,90
Bahamas,93,91
Kiribati,53,92
Cabo Verde,42,93
Grenada,38,94
Oman,33,95
Macau,27,96
Maldives,20,97
Antigua and Barbuda,11,98
San Marino,4,99
Saint Kitts and Nevis,0,100
Dominica,0,101
