country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year ($),generation
Albania,1987,male,15-24 years,21,312900,0.0,2156624900,Generation X
Albania,1987,male,35-54 years,16,308000,0.0,2156624900,Boomers
Albania,1987,female,15-24 years,14,289700,0.0,2156624900,Generation X
Albania,1987,male,75+ years,1,21800,0.0,2156624900,Generation A
Albania,1987,male,25-34 years,9,274300,0.0,2156624900,Boomers
Albania,1987,female,75+ years,1,35600,0.0,2156624900,Generation A
Albania,1987,female,35-54 years,6,278800,0.0,2156624900,Boomers
Albania,1987,female,25-34 years,4,257200,0.0,2156624900,Boomers
Albania,1987,male,55-74 years,1,137500,0.0,2156624900,Silent
Albania,1987,female,5-14 years,0,311000,0.0,2156624900,Millennials
Albania,1987,female,55-74 years,0,144600,0.0,2156624900,Silent
Albania,1987,male,5-14 years,0,338200,0.0,2156624900,Millennials
Albania,1988,female,75+ years,2,36400,0.0,2126000000,Generation A
Albania,1988,male,15-24 years,17,319200,0.0,2126000000,Generation X
Albania,1988,male,75+ years,1,22300,0.0,2126000000,Generation A
Albania,1988,male,35-54 years,14,314100,0.0,2126000000,Boomers
Albania,1988,male,55-74 years,4,140200,0.0,2126000000,Silent
Albania,1988,female,15-24 years,8,295600,0.0,2126000000,Generation X
Albania,1988,female,55-74 years,3,147500,0.0,2126000000,Silent
Albania,1988,female,25-34 years,5,262400,0.0,2126000000,Boomers
Albania,1988,male,25-34 years,5,279900,0.0,2126000000,Boomers
Albania,1988,female,35-54 years,4,284500,0.0,2126000000,Boomers
Albania,1988,female,5-14 years,0,317200,0.0,2126000000,Millennials
Albania,1988,male,5-14 years,0,345000,0.0,2126000000,Millennials
Albania,1989,male,75+ years,2,22500,0.0,2335124988,Generation A
Albania,1989,male,25-34 years,18,283600,0.0,2335124988,Boomers
Albania,1989,male,35-54 years,15,318400,0.0,2335124988,Boomers
Albania,1989,male,55-74 years,6,142100,0.0,2335124988,Silent
Albania,1989,male,15-24 years,12,323500,0.0,2335124988,Generation X
Albania,1989,female,35-54 years,7,288600,0.0,2335124988,Boomers
Albania,1989,female,15-24 years,5,299900,0.0,2335124988,Generation X
Albania,1989,female,25-34 years,2,266300,0.0,2335124988,Boomers
Albania,1989,female,55-74 years,1,149600,0.0,2335124988,Silent
Albania,1989,female,5-14 years,0,321900,0.0,2335124988,Millennials
Albania,1989,female,75+ years,0,37000,0.0,2335124988,Generation A
Albania,1989,male,5-14 years,0,349700,0.0,2335124988,Millennials
Albania,1992,male,35-54 years,12,343800,0.0,709452584,Boomers
Albania,1992,male,15-24 years,9,263700,0.0,709452584,Generation X
Albania,1992,male,55-74 years,5,159500,0.0,709452584,Silent
Albania,1992,male,25-34 years,7,245500,0.0,709452584,Generation X
Albania,1992,female,15-24 years,7,292400,0.0,709452584,Generation X
Albania,1992,female,25-34 years,4,267400,0.0,709452584,Generation X
Albania,1992,female,35-54 years,2,323100,0.0,709452584,Boomers
Albania,1992,female,55-74 years,1,164900,0.0,709452584,Silent
Albania,1992,female,5-14 years,0,336700,0.0,709452584,Millennials
Albania,1992,female,75+ years,0,38700,0.0,709452584,Generation A
Albania,1992,male,5-14 years,0,362900,0.0,709452584,Millennials
Albania,1992,male,75+ years,0,23900,0.0,709452584,Generation A
Albania,1993,male,15-24 years,18,243300,0.0,1228071038,Generation X
Albania,1993,male,55-74 years,7,165000,0.0,1228071038,Silent
Albania,1993,male,75+ years,1,24200,0.0,1228071038,Generation A
Albania,1993,male,25-34 years,9,230100,0.0,1228071038,Generation X
Albania,1993,female,15-24 years,1,285300,0.0,1228071038,Generation X
Albania,1993,male,35-54 years,1,350300,0.0,1228071038,Boomers
Albania,1993,female,25-34 years,7,261800,0.0,1228071038,Generation X
Albania,1993,female,35-54 years,7,331200,0.0,1228071038,Boomers
Albania,1993,female,55-74 years,2,169500,0.0,1228071038,Silent
Albania,1993,female,5-14 years,1,340300,0.0,1228071038,Millennials
Albania,1993,male,5-14 years,1,367000,0.0,1228071038,Millennials
Albania,1993,female,75+ years,0,39300,0.0,1228071038,Generation A
Albania,1994,male,75+ years,2,24600,0.0,1985673798,Generation A
Albania,1994,male,55-74 years,11,171400,0.0,1985673798,Silent
Albania,1994,female,75+ years,2,39900,0.0,1985673798,Generation A
Albania,1994,male,25-34 years,6,231400,0.0,1985673798,Generation X
Albania,1994,male,35-54 years,9,362800,0.0,1985673798,Boomers
Albania,1994,male,15-24 years,6,242200,0.0,1985673798,Generation X
Albania,1994,female,15-24 years,6,282600,0.0,1985673798,Generation X
Albania,1994,female,25-34 years,4,261100,0.0,1985673798,Generation X
Albania,1994,female,35-54 years,2,342500,0.0,1985673798,Boomers
Albania,1994,female,55-74 years,1,174600,0.0,1985673798,Silent
Albania,1994,male,5-14 years,1,371800,0.0,1985673798,Millennials
Albania,1994,female,5-14 years,0,344400,0.0,1985673798,Millennials
Albania,1995,male,25-34 years,13,232900,0.619,2424499009,Generation X
Albania,1995,male,55-74 years,9,178000,0.619,2424499009,Silent
Albania,1995,female,75+ years,2,40800,0.619,2424499009,Generation A
Albania,1995,female,15-24 years,13,283500,0.619,2424499009,Generation X
Albania,1995,male,15-24 years,11,241200,0.619,2424499009,Generation X
