country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year ($),suicides/100K
Albania,1987,male,15-24 years,21,312900,0.0,2156624900,6.7114093959731544
Albania,1987,male,35-54 years,16,308000,0.0,2156624900,5.194805194805195
Albania,1987,female,15-24 years,14,289700,0.0,2156624900,4.832585433206766
Albania,1987,male,75+ years,1,21800,0.0,2156624900,4.587155963302752
Albania,1987,male,25-34 years,9,274300,0.0,2156624900,3.281079110462997
Albania,1987,female,75+ years,1,35600,0.0,2156624900,2.808988764044944
Albania,1987,female,35-54 years,6,278800,0.0,2156624900,2.1520803443328553
Albania,1987,female,25-34 years,4,257200,0.0,2156624900,1.5552099533437014
Albania,1987,male,55-74 years,1,137500,0.0,2156624900,0.7272727272727273
Albania,1987,female,5-14 years,0,311000,0.0,2156624900,0.0
Albania,1987,female,55-74 years,0,144600,0.0,2156624900,0.0
Albania,1987,male,5-14 years,0,338200,0.0,2156624900,0.0
Albania,1988,female,75+ years,2,36400,0.0,2126000000,5.4945054945054945
Albania,1988,male,15-24 years,17,319200,0.0,2126000000,5.325814536340852
Albania,1988,male,75+ years,1,22300,0.0,2126000000,4.484304932735426
Albania,1988,male,35-54 years,14,314100,0.0,2126000000,4.457179242279529
Albania,1988,male,55-74 years,4,140200,0.0,2126000000,2.8530670470756063
Albania,1988,female,15-24 years,8,295600,0.0,2126000000,2.706359945872801
Albania,1988,female,55-74 years,3,147500,0.0,2126000000,2.0338983050847457
Albania,1988,female,25-34 years,5,262400,0.0,2126000000,1.9054878048780488
Albania,1988,male,25-34 years,5,279900,0.0,2126000000,1.7863522686673812
Albania,1988,female,35-54 years,4,284500,0.0,2126000000,1.4059753954305798
Albania,1988,female,5-14 years,0,317200,0.0,2126000000,0.0
Albania,1988,male,5-14 years,0,345000,0.0,2126000000,0.0
Albania,1989,male,75+ years,2,22500,0.0,2335124988,8.88888888888889
Albania,1989,male,25-34 years,18,283600,0.0,2335124988,6.346967559943582
Albania,1989,male,35-54 years,15,318400,0.0,2335124988,4.711055276381909
Albania,1989,male,55-74 years,6,142100,0.0,2335124988,4.2223786066150595
Albania,1989,male,15-24 years,12,323500,0.0,2335124988,3.7094281298299845
Albania,1989,female,35-54 years,7,288600,0.0,2335124988,2.4255024255024256
Albania,1989,female,15-24 years,5,299900,0.0,2335124988,1.6672224074691564
Albania,1989,female,25-34 years,2,266300,0.0,2335124988,0.7510326699211416
Albania,1989,female,55-74 years,1,149600,0.0,2335124988,0.6684491978609626
Albania,1989,female,5-14 years,0,321900,0.0,2335124988,0.0
Albania,1989,female,75+ years,0,37000,0.0,2335124988,0.0
Albania,1989,male,5-14 years,0,349700,0.0,2335124988,0.0
Albania,1992,male,35-54 years,12,343800,0.0,709452584,3.4904013961605584
Albania,1992,male,15-24 years,9,263700,0.0,709452584,3.4129692832764507
Albania,1992,male,55-74 years,5,159500,0.0,709452584,3.134796238244514
Albania,1992,male,25-34 years,7,245500,0.0,709452584,2.8513238289205702
Albania,1992,female,15-24 years,7,292400,0.0,709452584,2.3939808481532148
Albania,1992,female,25-34 years,4,267400,0.0,709452584,1.4958863126402393
Albania,1992,female,35-54 years,2,323100,0.0,709452584,0.6190034045187249
Albania,1992,female,55-74 years,1,164900,0.0,709452584,0.6064281382656155
Albania,1992,female,5-14 years,0,336700,0.0,709452584,0.0
Albania,1992,female,75+ years,0,38700,0.0,709452584,0.0
Albania,1992,male,5-14 years,0,362900,0.0,709452584,0.0
Albania,1992,male,75+ years,0,23900,0.0,709452584,0.0
Albania,1993,male,15-24 years,18,243300,0.0,1228071038,7.398273736128237
Albania,1993,male,55-74 years,7,165000,0.0,1228071038,4.242424242424242
Albania,1993,male,75+ years,1,24200,0.0,1228071038,4.132231404958678
Albania,1993,male,25-34 years,9,230100,0.0,1228071038,3.9113428943937416
Albania,1993,female,15-24 years,1,285300,0.0,1228071038,0.35050823694356814
Albania,1993,male,35-54 years,1,350300,0.0,1228071038,0.28546959748786754
Albania,1993,female,25-34 years,7,261800,0.0,1228071038,2.6737967914438503
Albania,1993,female,35-54 years,7,331200,0.0,1228071038,2.1135265700483092
Albania,1993,female,55-74 years,2,169500,0.0,1228071038,1.1799410029498525
Albania,1993,female,5-14 years,1,340300,0.0,1228071038,0.29385836027034967
Albania,1993,male,5-14 years,1,367000,0.0,1228071038,0.2724795640326976
Albania,1993,female,75+ years,0,39300,0.0,1228071038,0.0
Albania,1994,male,75+ years,2,24600,0.0,1985673798,8.130081300813009
Albania,1994,male,55-74 years,11,171400,0.0,1985673798,6.417736289381564
Albania,1994,female,75+ years,2,39900,0.0,1985673798,5.012531328320802
Albania,1994,male,25-34 years,6,231400,0.0,1985673798,2.592912705272256
Albania,1994,male,35-54 years,9,362800,0.0,1985673798,2.4807056229327453
Albania,1994,male,15-24 years,6,242200,0.0,1985673798,2.477291494632535
Albania,1994,female,15-24 years,6,282600,0.0,1985673798,2.1231422505307855
Albania,1994,female,25-34 years,4,261100,0.0,1985673798,1.5319800842589044
Albania,1994,female,35-54 years,2,342500,0.0,1985673798,0.5839416058394161
Albania,1994,female,55-74 years,1,174600,0.0,1985673798,0.572737686139748
Albania,1994,male,5-14 years,1,371800,0.0,1985673798,0.2689618074233459
Albania,1994,female,5-14 years,0,344400,0.0,1985673798,0.0
Albania,1995,male,25-34 years,13,232900,0.619,2424499009,5.5817947617003005
Albania,1995,male,55-74 years,9,178000,0.619,2424499009,5.056179775280899
Albania,1995,female,75+ years,2,40800,0.619,2424499009,4.901960784313726
Albania,1995,female,15-24 years,13,283500,0.619,2424499009,4.585537918871252
Albania,1995,male,15-24 years,11,241200,0.619,2424499009,4.560530679933665
Albania,1995,male,75+ years,1,25100,0.619,2424499009,3.9840637450199203
Albania,1995,male,35-54 years,14,375900,0.619,2424499009,3.7243947858473
Albania,1995,female,25-34 years,7,264000,0.619,2424499009,2.6515151515151514
Albania,1995,female,35-54 years,8,356400,0.619,2424499009,2.244668911335578
Albania,1995,male,5-14 years,6,376500,0.619,2424499009,1.593625498007968
Albania,1995,female,55-74 years,2,180400,0.619,2424499009,1.1086474501108647
Albania,1995,female,5-14 years,2,348700,0.619,2424499009,0.5735589331803843
Albania,1996,male,75+ years,2,25400,0.0,3314898292,7.874015748031496
Albania,1996,male,15-24 years,17,243600,0.0,3314898292,6.9786535303776684
Albania,1996,male,25-34 years,14,235300,0.0,3314898292,5.9498512537186565
Albania,1996,female,15-24 years,16,287700,0.0,3314898292,5.561348627042058
Albania,1996,female,75+ years,2,41200,0.0,3314898292,4.8543689320388355
Albania,1996,female,25-34 years,1,267900,0.0,3314898292,0.3732736095558044
Albania,1996,male,35-54 years,12,379600,0.0,3314898292,3.161222339304531
Albania,1996,female,35-54 years,9,362000,0.0,3314898292,2.4861878453038675
Albania,1996,male,55-74 years,3,179900,0.0,3314898292,1.6675931072818233
Albania,1996,female,55-74 years,1,183100,0.0,3314898292,0.5461496450027308
Albania,1996,male,5-14 years,2,380400,0.0,3314898292,0.5257623554153523
Albania,1996,female,5-14 years,1,354100,0.0,3314898292,0.2824060999717594
Albania,1997,male,25-34 years,36,236000,0.0,2359903108,15.254237288135593
Albania,1997,male,15-24 years,33,244400,0.0,2359903108,13.502454991816695
Albania,1997,male,75+ years,3,25400,0.0,2359903108,11.811023622047244
Albania,1997,male,35-54 years,3,380800,0.0,2359903108,0.7878151260504203
